No,bus_no,depot,bus_model
1175,VAF5762,MRT Sungai Buloh,VOLVO MRT
1176,VAH9154,MRT Sungai Buloh,VOLVO MRT
1177,VAJ1570,MRT Sungai Buloh,VOLVO MRT
1178,VAJ2854,MRT Sungai Buloh,VOLVO MRT
1179,VAJ2876,MRT Sungai Buloh,VOLVO MRT
1180,VAJ8965,MRT Sungai Buloh,VOLVO MRT
1181,VAJ9068,MRT Sungai Buloh,VOLVO MRT
1182,VAJ9136,MRT Sungai Buloh,VOLVO MRT
1183,VAK1034,MRT Sungai Buloh,VOLVO MRT
1184,VAK1045,MRT Sungai Buloh,VOLVO MRT
1185,VAK950,MRT Sungai Buloh,VOLVO MRT
1186,VAK967,MRT Sungai Buloh,VOLVO MRT
1187,VG6477,MRT Sungai Buloh,VOLVO MRT
1188,VG6480,MRT Sungai Buloh,VOLVO MRT
1189,VG8630,MRT Sungai Buloh,VOLVO MRT
1190,VG8748,MRT Sungai Buloh,VOLVO MRT
1191,VG8765,MRT Sungai Buloh,VOLVO MRT
1192,VG8794,MRT Sungai Buloh,VOLVO MRT
1193,VG8849,MRT Sungai Buloh,VOLVO MRT
1194,VG8904,MRT Sungai Buloh,VOLVO MRT
1195,VG8934,MRT Sungai Buloh,VOLVO MRT
1196,VH4057,MRT Sungai Buloh,VOLVO MRT
1197,VH4961,MRT Sungai Buloh,VOLVO MRT
1198,PLW2757,Nibong Tebal,SCANIA K250 A
1199,WC4206F,Putrajaya,ALEXANDER DENNIS E200
1200,PLA2875,Shah Alam,SCANIA K250
1201,WA3578N,Shah Alam,SCANIA K250 A
1202,WB1052P,Shah Alam,SCANIA K250 A
1203,WB3185B,Shah Alam,SCANIA K250 A
1204,WB3406N,Shah Alam,SCANIA K250 A
1205,WB4408N,Shah Alam,SCANIA K250 A
1206,WB9341D,Shah Alam,SCANIA K250 A
1207,WVD4692,Shah Alam,SCANIA K270
1208,WVD4789,Shah Alam,SCANIA K270
1209,WVH6287,Shah Alam,SCANIA K270
1210,WVH9592,Shah Alam,SCANIA K270
1211,PLL7307,Sungai Nibong,SCANIA K250
1212,WVC3514,Cheras Selatan,MAN
1213,WB2419Q,Cheras Selatan,SCANIA K250 A
1214,PJJ7221,Mak Mandin,SCANIA K270 10
1215,WWB5386,Maluri,HINO SKS
1216,VEN1373,Maluri,VOLVO DD B8L
1217,VAF5461,MRT Kajang,SCANIA K250 MRT
1218,VAE7196,MRT Serdang,SCANIA K250 MRT
1219,VH4919,MRT Sungai Buloh,VOLVO MRT
1220,WB7852P,Putrajaya,ALEXANDER DENNIS E200
1221,PJH6028,Sungai Nibong,SCANIA K270 10
1222,VH4652,MRT Sungai Buloh,VOLVO MRT
1223,PJF8344,Weld Quay,SCANIA K270 10
1224,WB5632Q,Batu Caves,SCANIA K250 A
1225,WC5517J,Shah Alam,ALEXANDER DENNIS E200
1226,PLT2720,Sungai Nibong,SCANIA K250 A
1227,PJL9105,Sungai Nibong,SCANIA K270 10
1228,VAF7157,MRT Kajang,SCANIA K250 MRT
1229,WUW9687,MRT Serdang,SCANIA K270
1230,WB3481N,Shah Alam,SCANIA K250 A
1231,WVN5432,Batu Caves,MAN
1232,W9423Q,Batu Caves,SCANIA K250 B
1233,WUW4146,Batu Caves,SCANIA K270
1234,PKX3375,Mak Mandin,SCANIA K250
1235,WVC3470,Maluri,MAN
1236,WB5648U,Shah Alam,ALEXANDER DENNIS E200
1237,WB4389E,Shah Alam,SCANIA K250 A
1238,PJF8334,Sungai Nibong,SCANIA K270 10
1239,WPX1370,Cheras Selatan,VOLVO SD B7RLE
1240,WVJ8244,Maluri,MAN
1241,WUU6027,Maluri,SCANIA K270
1242,VFH8560,Maluri,VOLVO DD B8L
1243,VAF5904,MRT Sungai Buloh,VOLVO MRT
1244,WVF1541,Shah Alam,SCANIA K270
1245,WVG3245,Shah Alam,SCANIA K270
1246,PJL9130,Balik Pulau,SCANIA K270 10
1247,WB4708V,Cheras Selatan,SCANIA K250 A
1248,WPV6735,Cheras Selatan,VOLVO SD B7RLE
1249,PLQ2127,Mak Mandin,SCANIA K250 B
1250,VAC5773,MRT Sungai Buloh,VOLVO MRT
1251,VAJ2869,MRT Sungai Buloh,VOLVO MRT
1252,WC7259F,Putrajaya,ALEXANDER DENNIS E200
1253,PJJ1907,Tanjung Bungah,SCANIA K270 10
1254,WPV4541,Cheras Selatan,VOLVO SD B7RLE
1255,WPV6571,Cheras Selatan,VOLVO SD B7RLE
1256,WVN5492,Maluri,MAN
1257,VAE7157,MRT Kajang,SCANIA K250 MRT
1258,W9762Q,Shah Alam,SCANIA K250 B
1259,WVD2086,Shah Alam,SCANIA K270
1260,PLW2703,Sungai Nibong,SCANIA K250 A
1261,PJG6773,Sungai Nibong,SCANIA K270 10
1262,WB5064K,Batu Caves,ALEXANDER DENNIS E200
1263,WB7516B,Cheras Selatan,SCANIA K250 A
1264,VH4318,MRT Sungai Buloh,VOLVO MRT
1265,PJL9413,Sungai Nibong,SCANIA K270 10
1266,WB9421J,Batu Caves,ALEXANDER DENNIS E200
1267,WVD4758,Batu Caves,KING LONG IC 100
1268,PJJ4937,Mak Mandin,SCANIA K270 12
1269,WA4539M,Shah Alam,SCANIA K250 A
1270,WVD4166,Shah Alam,SCANIA K270
1271,PLV2768,Sungai Nibong,SCANIA K250 A
1272,WC4439C,Batu Caves,ALEXANDER DENNIS E200
1273,WC7081H,Shah Alam,ALEXANDER DENNIS E200
1274,W5331R,Shah Alam,SCANIA K250 B
1275,WB4987K,Batu Caves,ALEXANDER DENNIS E200
1276,WVL592,Batu Caves,MAN
1277,WB654L,Cheras Selatan,SCANIA K250 A
1278,WPV4598,Cheras Selatan,VOLVO SD B7RLE
1279,PJJ4721,Mak Mandin,SCANIA K270 10
1280,VEP2260,Maluri,VOLVO DD B8L
1281,VAG4709,MRT Kajang,SCANIA K250 MRT
1282,VAC5778,MRT Sungai Buloh,VOLVO MRT
1283,VH4683,MRT Sungai Buloh,VOLVO MRT
1284,PLQ4449,Sungai Nibong,SCANIA K250 B
1285,PJF8312,Sungai Nibong,SCANIA K270 10
1286,PJH2920,Sungai Nibong,SCANIA K270 10
1287,BNG4102,BRT Sunway,BUILD YOUR DREAM
1288,WVC2558,Maluri,MAN
1289,VFA2793,Maluri,VOLVO DD B8L
1290,VAG8054,MRT Kajang,SCANIA K250 MRT
1291,VAH9043,MRT Sungai Buloh,VOLVO MRT
1292,PKY1289,Tanjung Bungah,SCANIA K250
1293,PJM133,Balik Pulau,SCANIA K270 10
1294,PJJ4761,Mak Mandin,SCANIA K270 12
1295,PJL9255,Sungai Nibong,SCANIA K270 10
1296,PKY1266,Tanjung Bungah,SCANIA K250
1297,WUT8490,Academy,SCANIA K270
1298,PJL9143,Balik Pulau,SCANIA K270 10
1299,WVJ861,Maluri,MAN
1300,VAG4892,MRT Sungai Buloh,VOLVO MRT
1301,WUW8426,Batu Caves,KING LONG IC 100
1302,BNG4110,BRT Sunway,BUILD YOUR DREAM
1303,WB864U,Cheras Selatan,SCANIA K250 A
1304,VAG8058,MRT Kajang,SCANIA K250 MRT
1305,VX3578,MRT Kajang,SCANIA K250 MRT
1306,CDH8332,Shah Alam,SCANIA K250
1307,WVH1852,Batu Caves,SCANIA K270
1308,PJJ3310,Batu Caves,SCANIA K270 10
1309,PJJ1894,Batu Caves,SCANIA K270 12
1310,WVF1692,Maluri,SCANIA K270
1311,VAF5746,MRT Sungai Buloh,VOLVO MRT
1312,VG6514,MRT Sungai Buloh,VOLVO MRT
1313,WB8909J,Putrajaya,ALEXANDER DENNIS E200
1314,WB7809B,Shah Alam,SCANIA K250 A
1315,PJK2652,Weld Quay,SCANIA K270 10
1316,PJH265,Balik Pulau,SCANIA K270 10
1317,WQR7071,Cheras Selatan,VOLVO SD B7RLE
1318,WVH1469,Maluri,SCANIA K270
1319,VH2534,MRT Serdang,SCANIA K250 MRT
1320,VK6448,MRT Serdang,SCANIA K250 MRT
1321,VAJ6259,MRT Sungai Buloh,VOLVO MRT
1322,WB7413B,Shah Alam,SCANIA K250 A
1323,PLN3487,Sungai Nibong,SCANIA K250 B
1324,WUY9534,Batu Caves,KING LONG IC 100
1325,WVC1862,Batu Caves,KING LONG IC 100
1326,VGF8475,Cheras Selatan,VOLVO DD B8L
1327,VH3697,MRT Kajang,SCANIA K250 MRT
1328,VM1879,MRT Kajang,SCANIA K250 MRT
1329,PLV2751,Nibong Tebal,SCANIA K250 A
1330,WVB4123,Batu Caves,KING LONG IC 100
1331,WVC3505,Batu Caves,MAN
1332,WVN5601,Batu Caves,MAN
1333,PJH6073,Mak Mandin,SCANIA K270 12
1334,WVB2592,Maluri,MAN
1335,VK2655,MRT Serdang,SCANIA K250 MRT
1336,PJJ347,Sungai Nibong,SCANIA K270 10
1337,PLA7470,Weld Quay,SCANIA K250
1338,WVA4371,Batu Caves,KING LONG IC 100
1339,PLV4573,Mak Mandin,SCANIA K250 A
1340,WB5418X,Putrajaya,ALEXANDER DENNIS E200
1341,WUW8437,Batu Caves,KING LONG IC 100
1342,BNG4111,BRT Sunway,BUILD YOUR DREAM
1343,PJJ6050,Sungai Nibong,SCANIA K270 10
1344,WVJ8227,Batu Caves,MAN
1345,WVE5761,Batu Caves,SCANIA K270
1346,WPX4405,Cheras Selatan,VOLVO SD B7RLE
1347,VAE7593,MRT Kajang,SCANIA K250 MRT
1348,PJG1012,MRT Serdang,SCANIA K270 10
1349,PKX3178,Sungai Nibong,SCANIA K250
1350,PJG1015,Sungai Nibong,SCANIA K270 10
1351,WVN5571,Maluri,MAN
1352,VM1907,MRT Kajang,SCANIA K250 MRT
1353,VG8593,MRT Sungai Buloh,VOLVO MRT
1354,VH4307,MRT Sungai Buloh,VOLVO MRT
1355,PLV1729,Sungai Nibong,SCANIA K250 A
1356,VFB2440,Batu Caves,VOLVO DD B8L
1357,WVG2269,Maluri,MAN
1358,WVN7842,Maluri,MAN
1359,VAC5751,MRT Sungai Buloh,VOLVO MRT
1360,PKY1274,Shah Alam,SCANIA K250
1361,CDH7530,Sungai Nibong,SCANIA K250
1362,VFA9781,Batu Caves,VOLVO DD B8L
1363,WVG2290,Maluri,MAN
1364,WVN5622,Maluri,MAN
1365,PLX8502,Nibong Tebal,SCANIA K250 A
1366,PLP9114,Nibong Tebal,SCANIA K250 B
1367,WVF1352,Shah Alam,SCANIA K270
1368,PKX3373,Sungai Nibong,SCANIA K250
1369,PLL7263,Sungai Nibong,SCANIA K250
1370,PLU4044,Sungai Nibong,SCANIA K250 A
1371,PLL7194,Weld Quay,SCANIA K250
1372,PJJ4723,Balik Pulau,SCANIA K270 10
1373,WPW5413,Cheras Selatan,VOLVO SD B7RLE
1374,WVE4816,Maluri,MAN
1375,VH4046,MRT Kajang,SCANIA K250 MRT
1376,VH4044,MRT Sungai Buloh,VOLVO MRT
1377,WVG7158,Shah Alam,SCANIA K270
1378,VFA9765,Batu Caves,VOLVO DD B8L
1379,WVN5644,Maluri,MAN
1380,VH2044,MRT Serdang,SCANIA K250 MRT
1381,PLQ2132,Sungai Nibong,SCANIA K250 B
1382,WVG2370,Maluri,MAN
1383,PLT2675,Sungai Nibong,SCANIA K250 A
1384,PKY1286,Tanjung Bungah,SCANIA K250
1385,PLA2957,Weld Quay,SCANIA K250
1386,WUW1664,Batu Caves,KING LONG IC 100
1387,WVC4189,Batu Caves,KING LONG IC 100
1388,WVN5489,Batu Caves,MAN
1389,WB4658T,Cheras Selatan,SCANIA K250 A
1390,WUY4098,Cheras Selatan,SCANIA K270
1391,PLV2904,Mak Mandin,SCANIA K250 A
1392,WVJ1031,Maluri,MAN
1393,PLX8394,Nibong Tebal,SCANIA K250 A
1394,PLT2717,Sungai Nibong,SCANIA K250 A
1395,WUU6734,Batu Caves,KING LONG IC 100
1396,WUW1702,Batu Caves,KING LONG IC 100
1397,WVE4734,Cheras Selatan,MAN
1398,WA7507M,Shah Alam,SCANIA K250 A
1399,WB8354K,Shah Alam,SCANIA K250 A
1400,PJJ216,Sungai Nibong,SCANIA K270 10
1401,WC4657H,Batu Caves,ALEXANDER DENNIS E200
1402,PJL9183,Batu Caves,SCANIA K270 10
1403,WVH7935,Cheras Selatan,MAN
1404,VH3738,MRT Kajang,SCANIA K250 MRT
1405,WVG5323,Shah Alam,SCANIA K270
1406,PKX3428,Sungai Nibong,SCANIA K250
1407,PLN9347,Balik Pulau,SCANIA K250
1408,PJM166,Mak Mandin,SCANIA K270 10
1409,WUU6043,Batu Caves,SCANIA K270
1410,PJH4792,Cheras Selatan,SCANIA K270 10
1411,PLW5920,Mak Mandin,SCANIA K250 A
1412,PJL9137,Mak Mandin,SCANIA K270 10
1413,WA1349G,Shah Alam,SCANIA K250 B
1414,PJG4300,Sungai Nibong,SCANIA K270 10
1415,PJH6076,Weld Quay,SCANIA K270 10
1416,WB7284P,Batu Caves,SCANIA K250 A
1417,VGH4658,Cheras Selatan,VOLVO DD B8L
1418,WVJ1046,Maluri,MAN
1419,WVD3294,Shah Alam,SCANIA K270
1420,PJK2722,Sungai Nibong,SCANIA K270 10
1421,WUW8422,Batu Caves,KING LONG IC 100
1422,WVP2467,Batu Caves,MAN
1423,VFG2084,Batu Caves,VOLVO DD B8L
1424,WVN7817,Maluri,MAN
1425,VEN6127,Maluri,VOLVO DD B8L
1426,VAF5442,MRT Kajang,SCANIA K250 MRT
1427,VK2853,MRT Serdang,SCANIA K250 MRT
1428,VH4221,MRT Sungai Buloh,VOLVO MRT
1429,WVH1277,Shah Alam,SCANIA K270
1430,PLQ2279,Sungai Nibong,SCANIA K250 B
1431,PLL7270,Balik Pulau,SCANIA K250
1432,WC5704J,Batu Caves,ALEXANDER DENNIS E200
1433,WUY1426,Batu Caves,KING LONG IC 100
1434,WVG2450,Batu Caves,MAN
1435,WVN7792,Batu Caves,MAN
1436,PJL9066,Mak Mandin,SCANIA K270 10
1437,VM1930,MRT Kajang,SCANIA K250 MRT
1438,VAG4750,MRT Serdang,SCANIA K250 MRT
1439,VX2856,MRT Serdang,SCANIA K250 MRT
1440,VX2890,MRT Serdang,SCANIA K250 MRT
1441,VAF5738,MRT Sungai Buloh,VOLVO MRT
1442,VAG4871,MRT Sungai Buloh,VOLVO MRT
1443,VH4335,MRT Sungai Buloh,VOLVO MRT
1444,WB5366X,Putrajaya,ALEXANDER DENNIS E200
1445,WB985K,Putrajaya,ALEXANDER DENNIS E200
1446,WB2749T,Shah Alam,SCANIA K250 A
1447,WUY4101,Shah Alam,SCANIA K270
1448,PJH4862,Sungai Nibong,SCANIA K270 12
1449,PLA2968,Tanjung Bungah,SCANIA K250
1450,PLN4522,Mak Mandin,SCANIA K250 B
1451,PJH148,Mak Mandin,SCANIA K270 10
1452,WVH7743,Maluri,MAN
1453,VH1579,MRT Sungai Buloh,VOLVO MRT
1454,WC7250F,Putrajaya,ALEXANDER DENNIS E200
1455,WVD3298,Shah Alam,SCANIA K270
1456,PKX3372,Sungai Nibong,SCANIA K250
1457,VFE4087,Batu Caves,VOLVO DD B8L
1458,VGJ1940,Cheras Selatan,VOLVO DD B8L
1459,VH1570,MRT Sungai Buloh,VOLVO MRT
1460,WPV4564,Cheras Selatan,VOLVO SD B7RLE
1461,PLW5931,Nibong Tebal,SCANIA K250 A
1462,PLV4581,Mak Mandin,SCANIA K250 A
1463,WB6461M,Batu Caves,SCANIA K250 A
1464,WVH1574,Batu Caves,SCANIA K270
1465,PJJ4922,Batu Caves,SCANIA K270 12
1466,WB2592Q,Shah Alam,SCANIA K250 A
1467,WVD4738,Shah Alam,SCANIA K270
1468,PLA2923,Sungai Nibong,SCANIA K250
1469,PLW2700,Sungai Nibong,SCANIA K250 A
1470,VEQ6895,Maluri,VOLVO DD B8L
1471,CDH5961,MRT Serdang,SCANIA K250
1472,VAF5756,MRT Sungai Buloh,VOLVO MRT
1473,VH4081,MRT Sungai Buloh,VOLVO MRT
1474,WVB5889,Batu Caves,KING LONG IC 100
1475,WVB3694,Batu Caves,MAN
1476,BNG4108,BRT Sunway,BUILD YOUR DREAM
1477,WB2225C,Cheras Selatan,SCANIA K250 A
1478,PLV3057,Mak Mandin,SCANIA K250 A
1479,VFA5163,Maluri,VOLVO DD B8L
1480,VH4356,MRT Sungai Buloh,VOLVO MRT
1481,PKX3307,Sungai Nibong,SCANIA K250
1482,WVH7696,Batu Caves,MAN
1483,VFH1859,Batu Caves,VOLVO DD B8L
1484,CDH7752,MRT Serdang,SCANIA K250
1485,VH4925,MRT Sungai Buloh,VOLVO MRT
1486,WVD2187,Shah Alam,SCANIA K270
1487,PJL9503,Sungai Nibong,SCANIA K270 10
1488,PKX3402,Balik Pulau,SCANIA K250
1489,VFH8627,Batu Caves,VOLVO DD B8L
1490,WB1917U,Cheras Selatan,SCANIA K250 A
1491,VG8755,MRT Sungai Buloh,VOLVO MRT
1492,PJJ240,Weld Quay,SCANIA K270 10
1493,WUU6711,Batu Caves,KING LONG IC 100
1494,PLA2975,Tanjung Bungah,SCANIA K250
1495,WPX2474,Cheras Selatan,VOLVO SD B7RLE
1496,PLQ2263,Sungai Nibong,SCANIA K250 B
1497,PJK2762,Mak Mandin,SCANIA K270 10
1498,PJJ1926,Mak Mandin,SCANIA K270 12
1499,WVJ8197,Maluri,MAN
1500,VFH1693,Maluri,VOLVO DD B8L
1501,PJH6059,Sungai Nibong,SCANIA K270 10
1502,WVL693,Batu Caves,MAN
1503,PLP9150,Mak Mandin,SCANIA K250 B
1504,PMQ2578,Sungai Nibong,ALEXANDER DENNIS E500
1505,PLW2743,Sungai Nibong,SCANIA K250 A
1506,PJJ4706,Sungai Nibong,SCANIA K270 10
1507,PJL9394,Sungai Nibong,SCANIA K270 10
1508,W5380Q,Batu Caves,SCANIA K250 B
1509,VG6529,MRT Serdang,VOLVO MRT
1510,VH4643,MRT Sungai Buloh,VOLVO MRT
1511,PLP9074,Nibong Tebal,SCANIA K250 B
1512,PJJ169,Sungai Nibong,SCANIA K270 10
1513,PKX3280,Balik Pulau,SCANIA K250
1514,BNG4015,BRT Sunway,BUILD YOUR DREAM
1515,VAE7164,MRT Kajang,SCANIA K250 MRT
1516,VAL4552,MRT Sungai Buloh,VOLVO MRT
1517,WUW9721,Shah Alam,SCANIA K270
1518,VH4964,MRT Sungai Buloh,VOLVO MRT
1519,WVC6647,Maluri,MAN
1520,W4981R,Maluri,SCANIA K250 B
1521,W5164V,Maluri,SCANIA K250 B
1522,WPX6950,Maluri,VOLVO SD B7RLE
1523,VAF7146,MRT Kajang,SCANIA K250 MRT
1524,VK2906,MRT Kajang,SCANIA K250 MRT
1525,VH4557,MRT Serdang,VOLVO MRT
1526,WVD3307,Shah Alam,SCANIA K270
1527,PKX3461,Mak Mandin,SCANIA K250
1528,WB3552P,Putrajaya,ALEXANDER DENNIS E200
1529,WB2480T,Shah Alam,SCANIA K250 A
1530,VGN2850,Cheras Selatan,VOLVO DD B8L
1531,WPV6279,Cheras Selatan,VOLVO SD B7RLE
1532,PLP9059,Mak Mandin,SCANIA K250 B
1533,VG8643,MRT Sungai Buloh,VOLVO MRT
1534,PJL9994,Sungai Nibong,SCANIA K270 10
1535,VGJ8310,Cheras Selatan,VOLVO DD B8L
1536,PLT2723,Sungai Nibong,SCANIA K250 A
1537,PLA2982,Weld Quay,SCANIA K250
1538,WPX6907,Cheras Selatan,VOLVO SD B7RLE
1539,WVA4347,Batu Caves,KING LONG IC 100
1540,WB3685M,Cheras Selatan,ALEXANDER DENNIS E200
1541,WVJ8274,Cheras Selatan,MAN
1542,VEN634,Maluri,VOLVO DD B8L
1543,VAG4890,MRT Serdang,VOLVO MRT
1544,WVB3795,Batu Caves,MAN
1545,VH4108,MRT Kajang,SCANIA K250 MRT
1546,VG8597,MRT Sungai Buloh,VOLVO MRT
1547,WUU6042,Shah Alam,SCANIA K270
1548,WC4013G,Batu Caves,ALEXANDER DENNIS E200
1549,WUW8425,Batu Caves,KING LONG IC 100
1550,WPV9401,Cheras Selatan,VOLVO SD B7RLE
1551,PLN4500,Mak Mandin,SCANIA K250 B
1552,VAF5480,MRT Kajang,SCANIA K250 MRT
1553,VX3625,MRT Kajang,SCANIA K250 MRT
1554,VAG4876,MRT Sungai Buloh,VOLVO MRT
1555,VAJ2852,MRT Sungai Buloh,VOLVO MRT
1556,VAK1014,MRT Sungai Buloh,VOLVO MRT
1557,WC3852G,Shah Alam,ALEXANDER DENNIS E200
1558,PKX3295,Sungai Nibong,SCANIA K250
1559,PLT9149,Sungai Nibong,SCANIA K250 A
1560,PJJ3324,Sungai Nibong,SCANIA K270 10
1561,PJJ6130,Sungai Nibong,SCANIA K270 10
1562,PLA2920,Weld Quay,SCANIA K250
1563,WUW4137,Cheras Selatan,SCANIA K270
1564,VGJ8334,Cheras Selatan,VOLVO DD B8L
1565,WPW8179,Cheras Selatan,VOLVO SD B7RLE
1566,VGJ1946,Cheras Selatan,VOLVO DD B8L
1567,VGJ8319,Cheras Selatan,VOLVO DD B8L
1568,VH2557,MRT Serdang,SCANIA K250 MRT
1569,PJL9486,Nibong Tebal,SCANIA K270 10
1570,WPX5259,Cheras Selatan,VOLVO SD B7RLE
1571,VFH1782,Maluri,VOLVO DD B8L
1572,WUT8501,Shah Alam,SCANIA K270
1573,BNG4113,BRT Sunway,BUILD YOUR DREAM
1574,WVN5539,Cheras Selatan,MAN
1575,W7970S,Maluri,SCANIA K250 B
1576,VGH4668,Shah Alam,VOLVO DD B8L
1577,PJH4739,Sungai Nibong,SCANIA K270 10
1578,WB1024K,Cheras Selatan,ALEXANDER DENNIS E200
1579,VGK8931,Maluri,VOLVO DD B8L
1580,WVA5861,Batu Caves,KING LONG IC 100
1581,WVJ1043,Cheras Selatan,MAN
1582,PKY1270,Tanjung Bungah,SCANIA K250
1583,WUY9577,Batu Caves,KING LONG IC 100
1584,VFG4136,Batu Caves,VOLVO DD B8L
1585,VAF691,MRT Sungai Buloh,VOLVO MRT
1586,CDH2336,Shah Alam,SCANIA K250
1587,PLA7455,Sungai Nibong,SCANIA K250
1588,BNG4204,BRT Sunway,BUILD YOUR DREAM
1589,PJM153,Mak Mandin,SCANIA K270 10
1590,VK2971,MRT Serdang,SCANIA K250 MRT
1591,HWD4776,Cheras Selatan,TOYOTA HIACE
