No,bus_no,depot,bus_model
796,VK6749,MRT Kajang,SCANIA K250 MRT
797,VAH9053,MRT Sungai Buloh,VOLVO MRT
798,WA7197M,Shah Alam,SCANIA K250 A
799,PLQ4387,Sungai Nibong,SCANIA K250 B
800,WB8610F,Cheras Selatan,SCANIA K250 A
801,WB5634U,Maluri,ALEXANDER DENNIS E500
802,WC1692M,Putrajaya,ALEXANDER DENNIS E200
803,WB6425M,Shah Alam,SCANIA K250 A
804,WUT8497,Shah Alam,SCANIA K270
805,WUY4968,Shah Alam,SCANIA K270
806,WVP2491,Batu Caves,MAN
807,WVP2487,Maluri,MAN
808,VK2913,MRT Kajang,SCANIA K250 MRT
809,WB7518K,Shah Alam,SCANIA K250 A
810,WVC2034,Batu Caves,SCANIA K270
811,PLN6796,Mak Mandin,SCANIA K250 B
812,VAG4880,MRT Sungai Buloh,VOLVO MRT
813,VH4236,MRT Sungai Buloh,VOLVO MRT
814,PLW2756,Nibong Tebal,SCANIA K250 A
815,WUT8496,Batu Caves,SCANIA K270
816,PJJ6025,Batu Caves,SCANIA K270 10
817,VG8591,MRT Sungai Buloh,VOLVO MRT
818,PLV1652,Sungai Nibong,SCANIA K250 A
819,WUW5264,Batu Caves,KING LONG IC 100
820,VAF5438,MRT Kajang,SCANIA K250 MRT
821,VH3603,MRT Kajang,SCANIA K250 MRT
822,VK2767,MRT Serdang,SCANIA K250 MRT
823,PLW2758,Sungai Nibong,SCANIA K250 A
824,WVA4166,Batu Caves,KING LONG IC 100
825,WVC3796,Batu Caves,KING LONG IC 100
826,WVL743,Batu Caves,MAN
827,PLP9144,Mak Mandin,SCANIA K250 B
828,VH4073,MRT Serdang,SCANIA K250 MRT
829,W4948W,Shah Alam,SCANIA K250 B
830,W8053Q,Shah Alam,SCANIA K250 B
831,WVB6891,Shah Alam,SCANIA K270
832,WVA4421,Batu Caves,KING LONG IC 100
833,WVH7865,Batu Caves,MAN
834,WVL739,Batu Caves,MAN
835,WVN5547,Batu Caves,MAN
836,PJJ4915,Mak Mandin,SCANIA K270 10
837,WVU9785,Maluri,HINO SKS
838,WVB3764,Maluri,MAN
839,WVJ8215,Maluri,MAN
840,VH4189,MRT Kajang,SCANIA K250 MRT
841,CDH7751,MRT Serdang,SCANIA K250
842,WVB7343,MRT Serdang,SCANIA K270
843,WB3642M,Putrajaya,ALEXANDER DENNIS E200
844,WUT8493,Shah Alam,SCANIA K270
845,PJH170,Shah Alam,SCANIA K270 10
846,WUU6645,Batu Caves,KING LONG IC 100
847,WB2675Q,Batu Caves,SCANIA K250 A
848,WVF5646,Batu Caves,SCANIA K270
849,PJJ4732,Sungai Nibong,SCANIA K270 10
850,PJJ5238,Sungai Nibong,SCANIA K270 10
851,WVG8523,Batu Caves,SCANIA K270
852,PJF2887,Mak Mandin,SCANIA K270 10
853,PLV2771,Sungai Nibong,SCANIA K250 A
