,(1)Hospital Lam Wah Ee,(590)Persatuan Kanak - Kanak Sepastik,(1115)Pasar Batu Lanchang I,(1273)Pasar Batu Lanchang II,(1554)Flat Bata Merah,(2159)Balai Polis Jelutong,(2404)Asrama Munshi,(2591)Sunshine Jelutong,(2751)Old Town Café,(2956)Klinik Comfort,(3307)Harmony View,(3537)Klinik Kesihatan,(3830)Kampung Dodol,(4227)Taman Zainal Abidin,(4551)Stadium Bandaraya,(4943)Padang Brown,(5296)Kampung Makam,(5682)Pasar Jalan Kuantan,(5894)Penang Times Square,(6090)Pasaraya Gama,(6296)Komtar Utara ,(6755)Wisma MCA,(7052)Transfer Road,(7226)Pejabat Maritim,(7378)Sri Bahari,(7680)H.S. Sam Book Store,(7957)Love Lane,(8272)Little India,(8605)Container Hotel,(8820)Jejantas Terminal Feri,(9229)Pejabat Pos Besar P.Pinang,(9360)Pejabat Pos Besar P.Pinang 1,(9448)Balai Polis,(9705)Swettenham Pier Cruise Terminal,(9935)Church Street Pier,(10295)JETTY A
(6755)Wisma MCA,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(7052)Transfer Road,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(7226)Pejabat Maritim,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(7378)Sri Bahari,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(7680)H.S. Sam Book Store,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(7957)Love Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(8272)Little India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(8605)Container Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(8820)Jejantas Terminal Feri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4
(9229)Pejabat Pos Besar P.Pinang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4
(9360)Pejabat Pos Besar P.Pinang 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4
(9448)Balai Polis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4
(9705)Swettenham Pier Cruise Terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4
(9935)Church Street Pier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
(10295)JETTY A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
