,Stesen Bas Padang Serai,KLINIK KESIHATAN PS,PEKAN PADANG SERAI,BALAI POLIS PS,PUSAT PERNIAGAAN PADANG SERAI,TAMAN MAHSURI,TAMAN LAGENDA,TAMAN SELESA,PUSAT SERENTI KG. SELAMAT,BOMBA KG. SELAMAT,SMK Kg Selamat,Kampung Selamat I,Kampung Selamat II,Kampung Selamat III,Kampung Besar,Taman Bakawali,Kampung Master,Pejabat Pos Tasek Gelugor,SK Tasek Gelugor,Pusat Komersial,Petronas Tasek Gelugor,Taman Gelugor Indah,Kg Air Melintas Besar,Masjid Pokok Macang,KEMAS Pokok Macang,Tali Air Pokok Macang ,Dewan Seri Pokok Macang,Taman Desa Sena,Pejabat Veterinar,Taman Sena Jaya 1,Pokok Sena,Taman Pokok Sena Indah,Lubuk Meriam,Simpang Lahar Yooi,SK Lahar Yooi,Nyior Sebatang,Masjid Nyior Sebatang,Taman Merbau Jaya,Taman Seri Merbau,Taman Merbau Indah,SK Sungai Dua,Taman Seri Murni,Masjid Sungai Dua,Sungai Dua Utama,Taman Sungai Dua,Sungai Dua,Petronas Sg.Lokan,Masjid Sg Lokan,Masjid Alor Merah,Alor Merah,Pekan Maklom,Taman Seri Pinang,Pekan Sg. Puyu,Bengkel Kimpalan Sungai Puyu,Pasar Awam,Tesco Bagan Ajam,Taman Bagan Ajam,SK Bagan Jermal,Jabatan Pertahanan Awam,Taman Riang,Masjid Kubang Buaya,Wisma Peladang,SJKC Chung Hwa Pusat,Dataran Pemuda Merdeka,Jabatan Pertanian,Taman Selat,Maybank Butterworth,Penang Sentral
SMK Kg Selamat,,,,,,,,,,,0,0.90,0.90,1.00,1.00,1.10,1.10,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.60,1.70,1.70,1.80,1.80,1.90,2.00,2.00,2.00,2.10,2.10,2.20,2.20,2.20,2.20,2.40,2.40,2.40,2.50,2.50,2.50,2.50,2.50,2.70,2.70,2.70,2.80,2.80,2.90,2.90,2.90,3.00,3.00,3.10,3.10,3.20,3.20
Kampung Selamat I,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.20,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.70,1.70,1.80,1.90,1.90,1.90,2.00,2.00,2.10,2.10,2.10,2.10,2.30,2.30,2.30,2.40,2.40,2.40,2.40,2.50,2.60,2.60,2.60,2.70,2.70,2.80,2.80,2.80,2.90,3.00,3.00,3.00,3.10,3.10
Kampung Selamat II,,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.10,1.20,1.20,1.30,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.60,1.70,1.80,1.80,1.90,1.90,2.00,2.00,2.00,2.00,2.10,2.20,2.30,2.30,2.30,2.30,2.40,2.40,2.40,2.50,2.50,2.60,2.60,2.70,2.70,2.80,2.80,2.80,2.90,2.90,3.00,3.00,3.10
Kampung Selamat III,,,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.10,1.20,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.70,1.70,1.80,1.80,1.90,1.90,1.90,2.00,2.00,2.00,2.20,2.20,2.20,2.20,2.30,2.30,2.30,2.30,2.50,2.50,2.50,2.60,2.60,2.60,2.70,2.70,2.70,2.80,2.90,2.90,3.00,3.00
Kampung Besar,,,,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.10,1.20,1.20,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.70,1.70,1.70,1.80,1.90,1.90,1.90,1.90,2.00,2.10,2.10,2.20,2.20,2.20,2.20,2.30,2.30,2.50,2.50,2.50,2.50,2.50,2.60,2.60,2.70,2.70,2.80,2.80,2.90,2.90,2.90
Taman Bakawali,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.10,1.20,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.60,1.60,1.70,1.70,1.80,1.80,1.80,1.90,1.90,1.90,2.10,2.10,2.10,2.10,2.20,2.20,2.20,2.20,2.40,2.50,2.50,2.50,2.50,2.50,2.60,2.60,2.60,2.70,2.80,2.80,2.90,2.90
Kampung Master,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.10,1.10,1.20,1.20,1.20,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.60,1.60,1.70,1.70,1.80,1.80,1.80,1.80,1.90,2.00,2.00,2.10,2.10,2.10,2.10,2.20,2.20,2.40,2.40,2.50,2.50,2.50,2.50,2.50,2.60,2.60,2.70,2.70,2.80,2.80,2.80
Pejabat Pos Tasek Gelugor,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.10,1.10,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.70,1.70,1.70,1.80,1.80,1.90,2.00,2.00,2.00,2.00,2.10,2.10,2.10,2.30,2.30,2.40,2.40,2.50,2.50,2.50,2.50,2.50,2.60,2.60,2.70,2.70,2.80
SK Tasek Gelugor,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.10,1.10,1.20,1.20,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.60,1.70,1.70,1.70,1.80,1.90,1.90,2.00,2.00,2.00,2.00,2.10,2.10,2.30,2.30,2.30,2.40,2.40,2.50,2.50,2.50,2.50,2.60,2.60,2.70,2.70,2.70
Pusat Komersial,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.10,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.70,1.70,1.70,1.70,1.90,1.90,1.90,2.00,2.00,2.00,2.00,2.00,2.30,2.30,2.30,2.40,2.40,2.50,2.50,2.50,2.50,2.50,2.60,2.60,2.70,2.70
Petronas Tasek Gelugor,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.10,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.60,1.60,1.60,1.60,1.70,1.70,1.80,1.90,1.90,1.90,2.00,2.00,2.00,2.00,2.20,2.20,2.30,2.30,2.40,2.40,2.50,2.50,2.50,2.50,2.60,2.60,2.60,2.70
Taman Gelugor Indah,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.60,1.60,1.70,1.80,1.80,1.90,1.90,1.90,1.90,2.00,2.00,2.20,2.20,2.30,2.30,2.30,2.40,2.40,2.50,2.50,2.50,2.50,2.60,2.60,2.60
Kg Air Melintas Besar,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.20,1.20,1.20,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.60,1.70,1.80,1.80,1.80,1.80,1.90,1.90,1.90,2.10,2.10,2.20,2.20,2.30,2.30,2.40,2.40,2.40,2.50,2.50,2.50,2.50,2.60
Masjid Pokok Macang,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,0.90,1.00,1.10,1.10,1.20,1.20,1.20,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.50,1.60,1.70,1.70,1.80,1.80,1.80,1.80,1.90,1.90,2.10,2.10,2.10,2.20,2.20,2.30,2.30,2.40,2.40,2.50,2.50,2.50,2.50,2.50
KEMAS Pokok Macang,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.50,1.70,1.70,1.70,1.80,1.80,1.80,1.80,1.90,2.10,2.10,2.10,2.20,2.20,2.30,2.30,2.30,2.40,2.40,2.50,2.50,2.50,2.50
Tali Air Pokok Macang ,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.70,1.70,1.70,1.80,1.80,1.80,1.80,2.00,2.10,2.10,2.10,2.20,2.20,2.30,2.30,2.30,2.40,2.50,2.50,2.50,2.50
Dewan Seri Pokok Macang,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.10,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.70,1.70,1.70,1.70,1.80,1.80,1.80,2.00,2.00,2.10,2.10,2.20,2.20,2.30,2.30,2.30,2.40,2.40,2.50,2.50,2.50
Taman Desa Sena,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.40,1.60,1.60,1.60,1.70,1.70,1.70,1.70,1.80,2.00,2.00,2.00,2.10,2.10,2.20,2.20,2.20,2.30,2.30,2.40,2.40,2.50,2.50
Pejabat Veterinar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.20,1.20,1.30,1.40,1.40,1.40,1.40,1.40,1.40,1.50,1.60,1.60,1.60,1.60,1.70,1.70,1.70,1.90,1.90,2.00,2.00,2.10,2.10,2.20,2.20,2.20,2.30,2.30,2.40,2.40,2.50
Taman Sena Jaya 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.60,1.60,1.70,1.70,1.90,1.90,2.00,2.00,2.00,2.10,2.10,2.20,2.20,2.30,2.30,2.40,2.40,2.50
Pokok Sena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.10,1.10,1.10,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.60,1.60,1.60,1.80,1.90,1.90,1.90,2.00,2.00,2.10,2.10,2.10,2.20,2.30,2.30,2.30,2.40
Taman Pokok Sena Indah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.10,1.10,1.10,1.20,1.30,1.30,1.30,1.30,1.40,1.40,1.40,1.50,1.50,1.50,1.50,1.60,1.60,1.80,1.80,1.80,1.90,1.90,2.00,2.00,2.10,2.10,2.20,2.20,2.30,2.30,2.30
Lubuk Meriam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.20,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.50,1.70,1.80,1.80,1.80,1.90,1.90,2.00,2.00,2.00,2.10,2.20,2.20,2.20,2.30
Simpang Lahar Yooi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.10,1.20,1.20,1.20,1.20,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.50,1.70,1.70,1.70,1.80,1.80,1.90,1.90,1.90,2.00,2.10,2.10,2.10,2.20,2.20
SK Lahar Yooi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.20,1.20,1.20,1.20,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.70,1.70,1.70,1.80,1.80,1.90,1.90,1.90,2.00,2.00,2.10,2.10,2.20,2.20
Nyior Sebatang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.10,1.10,1.10,1.10,1.20,1.20,1.30,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.60,1.60,1.70,1.70,1.80,1.80,1.90,1.90,1.90,2.00,2.00,2.10,2.10,2.20
Masjid Nyior Sebatang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.10,1.10,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.60,1.60,1.60,1.70,1.70,1.80,1.80,1.80,1.90,2.00,2.00,2.00,2.10
Taman Merbau Jaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.20,1.20,1.20,1.30,1.30,1.30,1.30,1.40,1.50,1.50,1.50,1.60,1.60,1.70,1.70,1.70,1.80,1.80,1.90,1.90,2.00,2.00
Taman Seri Merbau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.20,1.20,1.20,1.30,1.30,1.30,1.30,1.40,1.50,1.50,1.50,1.60,1.60,1.70,1.70,1.70,1.80,1.90,1.90,1.90,2.00
Taman Merbau Indah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.10,1.10,1.20,1.20,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.70,1.70,1.80,1.80,1.90,1.90,1.90
SK Sungai Dua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.10,1.10,1.10,1.10,1.20,1.20,1.20,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.60,1.70,1.70,1.80,1.80,1.90
Taman Seri Murni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.10,1.10,1.20,1.20,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.70,1.70,1.80,1.80,1.80
Masjid Sungai Dua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.10,1.10,1.10,1.10,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.50,1.60,1.70,1.70,1.80,1.80
Sungai Dua Utama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.10,1.10,1.10,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.70,1.70,1.70,1.80
Taman Sungai Dua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,1.00,1.00,1.00,1.00,1.10,1.10,1.10,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.60,1.70,1.70,1.80
Sungai Dua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,1.00,1.00,1.00,1.00,1.10,1.10,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.70,1.70,1.70
Petronas Sg.Lokan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,0.90,0.90,1.10,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60
Masjid Sg Lokan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,0.90,1.10,1.10,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.60
Masjid Alor Merah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,1.10,1.10,1.10,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50
Alor Merah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.10,1.10,1.10,1.20,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.50,1.50
Pekan Maklom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50
Taman Seri Pinang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,1.00,1.00,1.10,1.10,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50
Pekan Sg. Puyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,1.00,1.00,1.00,1.10,1.10,1.20,1.20,1.20,1.30,1.40,1.40,1.40,1.40,1.40
Bengkel Kimpalan Sungai Puyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.00,1.00,1.00,1.10,1.10,1.20,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40
Pasar Awam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.20,1.20,1.30,1.30
Tesco Bagan Ajam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.20,1.20,1.20,1.30
Taman Bagan Ajam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.20,1.20,1.20
SK Bagan Jermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.10,1.10,1.10,1.20
Jabatan Pertahanan Awam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.20
Taman Riang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10
Masjid Kubang Buaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.10
Wisma Peladang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.00
SJKC Chung Hwa Pusat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00
Dataran Pemuda Merdeka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90
Jabatan Pertanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90
Taman Selat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90,0.90
Maybank Butterworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.90
Penang Sentral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
